"image_index","snr","ssim"
1,1.69197945996103,0.998315741777835
2,1.35409720718326,0.998042923601765
3,0.810257047314772,0.998333267783124
4,0.216763041347896,0.995989489675398
5,0.712738489485975,0.997458423699215
6,-0.200492339485996,0.994050601018627
7,0.36538623530479,0.997061359968035
8,0.0690405988033701,0.996241478400349
9,0.126961127492999,0.996184453565375
10,-0.284280447320885,0.995245535885596
11,0.973955820313704,0.99799358912278
12,-0.0825656960683675,0.994964750584943
13,-0.0075185837448959,0.997055238824114
14,2.35131610521739,0.99930321080831
15,-0.307134231908189,0.991413000954581
16,0.303806190021825,0.996291195876618
17,1.17751252559088,0.998407770222703
18,-0.149490287776266,0.99733914136279
19,1.45308824151076,0.998461900852027
20,1.40736341298542,0.999011864098792
21,1.7574616169003,0.999582227503528
22,1.64123294796117,0.99850988348411
23,-0.0118044359327235,0.996287570095319
24,1.37017839857119,0.998562774021322
25,0.906906088252257,0.998911660083005
26,1.58284214154135,0.999528933016979
27,-0.316665134777432,0.997207480906111
28,0.374620205782672,0.997838356170112
29,-0.0358689871932301,0.99531486505455
30,0.093691610381046,0.996911004798943
31,0.153285186726523,0.998433081401489
32,1.99023370454549,0.999282095749353
33,0.851761022457914,0.999316822202084
34,2.25116512017327,0.999355697958114
35,1.25205893704805,0.998806464951067
36,1.54766755070356,0.999299348967672
37,1.10968337511538,0.999303137527405
38,1.0444426615924,0.998383509652713
39,1.18161004163856,0.998510343187653
40,1.4072275922042,0.998941736382262
41,0.289983082924039,0.998419885996272
42,1.03565760401149,0.999138166158666
43,2.1030048003876,0.999027950222859
44,0.621092105634626,0.999054810775269
45,1.28743181142544,0.998680171572723
46,1.30612978785774,0.9989724811929
47,0.968625415718441,0.998927943749431
48,1.56260306548632,0.998928311510459
49,0.672862791181938,0.998664615038825
50,1.58496162444753,0.998865611484861
51,-0.0815723645139098,0.998350465391498
52,0.81390939014229,0.999022052918014
53,1.31257189816751,0.998658874139241
54,1.50870198347382,0.999061519581444
55,1.37924204373789,0.998975433574786
56,1.06585726883125,0.998302265878503
57,0.813420028241892,0.999115683969263
58,1.32855383038473,0.998808686204008
59,0.866183226830495,0.998867936378428
60,1.70218214734376,0.999215327736727
